"status_385", "gcxreference field required for GCX transactions"
"status_1170", "Currency Conversion: Not configured for service"
"status_1171", "Currency Conversion: Not configured to process domestic currency"
"status_1172", "Currency Conversion: Currency not recognized"
"status_1173", "Currency Conversion: Country of origin not supported"
"status_1174", "Currency Conversion: No exchange rate available"
"status_1175", "Currency Conversion: No commission rate available"
"status_1176", "Currency Conversion: No matching rate request for supplied ID"
"status_1177", "Currency Conversion: Partial fulfil not supported"
"status_1178", "Currency Conversion: Currencies were the same"
"status_1179", "Currency Conversion: Referenced HPS txn is not populated yet"
"status_1180", "Currency Conversion: Referenced rate offer is for a different currency or amount"
"status_1181", "Currency Conversion: Referenced rate offer has already been used"
"status_1182", "Currency Conversion: capture method not supported"
"status_1183", "Currency Conversion: the rate offer has expired"
"status_1184", "Currency Conversion: the rate offer belongs to a different merchant"
"status_1185", "Currency Conversion: only pre and auth are supported"
"status_1186", "Currency Conversion: offer has a duplicate merchant ref"
"status_1187", "Currency Conversion: merchant ref corresponds to an offer other than the one being used"
"status_1188", "Currency Conversion: TID acquirer does not support CCS"
"status_1189", "Currency Conversion: cannot supply BaseCurrency and Amount"
"status_1190", "Currency Conversion: cannot supply ExchangeCurrency and bin"
"status_1191", "Currency Conversion: cannot contact Fexco webservice - please try again later"
"status_1192", "Currency Conversion: DCC declined by Fexco"
"status_1193", "Currency Conversion: Merchant not configured with Fexco service"
"status_1194", "Currency Conversion: Invalid Fexco response"
"status_1195", "Currency Conversion: Communications error"
"status_1196", "Currency Conversion: Split Shipment not permitted"
"status_1197", "Currency Conversion: Amount cannot be specified for a CCS txn_refund"
"status_390", "Merchant not subscribed to Click2Pay service"
"status_391", "Click2Pay: Connection Error"
"status_392", "Click2Pay: No response from Click2Pay server"
"status_393", "Click2Pay: Server returned invalid resposne"
"status_394", "Click2Pay: Server Error"
"status_395", "Click2Pay: Illegal Field"
"status_396", "Click2Pay: Unrecognised currency returned from Click2Pay server"
"status_421", "Omnipay - Network failure"
"status_422", "Datawire - Server Error"
"status_423", "Datawire - VXN Error"
"status_424", "Datawire - Invalid XML Response"
"status_426", "Omnipay - merchant incorrectly configured"
"status_427", "Omnipay - Invalid input"
"status_428", "Omnipay - invalid card scheme"
"status_430", "Elavon - server error"
"status_431", "Elavon - invalid AVS details"
"status_450", "SEB: Euroline System Error"
"status_451", "SEB: Failure at bank"
"status_452", "SEB: Request/Response Mismatch"
"status_453", "SEB: Merchant incorrectly configured"
"status_454", "SEB: No connection configured for authorisations"
"status_455", "SEB: Unsupported message type"
"status_456", "No external tickets available for this service"
"status_457", "SEB: Insufficient Data to generate request message "
"status_460", "Not Subscribed"
"status_461", "Merchant incorrectly configured"
"status_462", "Invalid element"
"status_515", "Cannot reverse transaction  "
"status_516", "Inappropriate card number  "
"status_517", "Unexpected elements  "
"status_518", "Invalid refund  "
"status_519", "Invalid Environment  "
"status_530", "VEoD: not configured for service"
"status_531", "VEoD: outside EoD window"
"status_532", "VEoD: already received an EoD"
"status_533", "VEoD: EoD misconfigured"
"status_534", "VEoD: EoD misconfigured"
"status_560", "PayPal: Not configured for   service  "
"status_561", "PayPal: Error returned in   response  "
"status_562", "PayPal: Warning returned in   response  "
"status_563", "PayPal: Already refunded  "
"status_564", "PayPal: Partial refund amount exceeds   available amount  "
"status_565", "PayPal: Invalid reference  "
"status_566", "PayPal: Mandatory field not   supplied  "
"status_567", "PayPal: Disallowed field supplied  "
"status_568", "PayPal: Validation error  "
"status_569", "PayPal: Communications Error   "
"status_570", "PayPal: Incomplete transaction"
"status_571", "PayPal:Customer login pending"
"status_572", "Paypal:No Paypal response received - please query transaction status"
"status_573", "Paypal:Request not received by Paypal"
"status_574", "Paypal:Action in progress"
"status_575", "Paypal:Transaction failed"
"status_576", "Paypal:Unsuccessful status"
"status_577", "Paypal:Status update failed"
"status_578", "Paypal:Unable to determine transaction status at Paypal"
"status_630", "Unexpected elements  "
"status_631", "Inappropriate card number  "
"status_632", "Invalid environment  "
"status_633", "Invalid refund  "
"status_911", "Amexiso: Unable to establish connection     "
"status_912", "Amexiso: Airlines service subscription required in order to provide IAC data"
"status_913", "Amexiso: ThreeDSecure transaction on American Express cards can only be processed by Amexiso"
"status_914", "Amexiso: Invalid response from Amex"
"status_1400", "Concardis: Invalid response from Concardis"
"status_1401", "Concardis: Unable to establish connection"
"status_1402", "Concardis: corrupted response"
"status_1403", "Concardis: invalid service"
"status_1404", "Concardis: unable to determine POS Terminal ID Coded"
"status_650", "Chase: Communications Error"
"status_651", "Chase: Request/Response Mismatch"
"status_652", "Chase: No external connection resource available"
"status_653", "Chase: Failure at bank"
"status_654", "Chase: Error in response"
"status_655", "Chase: Not configured for service"
"status_656", "Chase: Cannot reverse expired auth"
"status_657", "Chase: Unsupported Card Scheme"
"status_658", "Chase: Insufficient Data to generate request message"
"status_659", "Chase: Auth reversal cannot be processed on expired auth"
"status_660", "Chase: HTTP error in response"
"status_661", "Chase: Unknown Error"
"status_670", "Invalid NAB Merchant ID"
"status_671", "NAB suffered a database error whilst processing the transaction"
"status_672", "NAB encountered an error whilst processing the transaction"
"status_673", "NAB suffered a fatal unknown error"
"status_674", "NAB was unable to process the transaction"
"status_675", "NAB is undergoing system maintenance"
"status_676", "Invalid NAB password supplied"
"status_677", "NAB was unable to process the transaction"
"status_678", "NAB was unable to process the transaction"
"status_679", "NAB has disabled the merchant acccount used for this transaction."
"status_680", "NAB was unable to process the transaction"
"status_681", "An unknown error has occurred processing the NAB transaction"
"status_682", "Merchant incorrectly configured for NAB"
"status_683", "NAB: Unable to establish connection to NAB"
"status_684", "NAB: HTTP error in response"
"status_685", "NAB: Communications Error"
"status_686", "Decryption/Encryption Error at NAB"
"status_687", "NAB Gateway Timeout, no response received from bank"
"status_688", "NAB complete transaction was for a greater amount than the preauth"
"status_689", "NAB payment amount is below the minimum specified by merchant"
"status_690", "NAB payment amount is above the maximum specified by merchant"
"status_691", "Transaction timed out while in the NAB queue"
"status_692", "Invalid response received from NAB"
"status_693", "Incorrect response received from NAB"
"status_694", "Pre-auth not found by NAB"
"status_695", "NAB pre-auth already completed"
"status_760", "Fuel Card Processing: Unexpected element in request   "
"status_761", "Fuel Card Processing: Card provided is not a Fuel Card   "
"status_762", "Fuel Card Processing: Invalid capturemethod (can only bekeyed or swiped for Fuel Cards)   "
"status_763", "Fuel Card Processing: Invalid fuel_settle txn   "
"status_764", "Fuel Card Processing: Missing receipt_no element   "
"status_810", "HPS: Inappropriate data supplied"
"status_811", "HPS: Missing data"
"status_812", "HPS: Invalid reference"
"status_813", "HPS: Communications error"
"status_814", "HPS: Invalid HPS response"
"status_815", "HPS: Invalid payment reference"
"status_816", "HPS: Merchant not configured"
"status_817", "HPS: Capture field data too long"
"status_818", "HPS: Dynamic Data Field too long"
"status_820", "HPS: Awaiting customer card details."
"status_821", "HPS: At least one auth attempted. Awaiting payment details."
"status_822", "HPS: The maximum number of retry transaction was breached."
"status_823", "HPS: The merchants customer did not complete within the session timeout."
"status_824", "HPS: Payment in flight. Awaiting customer ACS submission."
"status_825", "HPS: Merchant not configured for full-hps"
"status_826", "HPS: The transaction has already been marked as final."
"status_827", "HPS: Invalid capturemethod."
"status_828", "HPS: Awaiting authorization."
"status_829", "HPS: Invalid payment method for Full HPS txns."
"status_845", "HPS: Paypal - Customer sent to the PayPal login page."
"status_846", "HPS: Paypal - Waiting for customer to confirm payment."
"status_847", "HPS: Paypal - Payment have confirmed funds available."
"status_848", "HPS: Paypal - Invalid PayPal method."
"status_849", "HPS: Paypal - Invalid PayPal payment action."
"status_850", "HPS: Paypal - Invalid PayPal setup elements."
"status_851", "HPS: Paypal - The Paypal txn was voided."
"status_860", "An APG session has been setup, waiting for the customer to return."
"status_861", "The APG transaction failed."
"status_830", "Unable to establish connection to Westpac"
"status_831", "Invalid response received from Westpac"
"status_832", "Incorrect response received from Westpac"
"status_833", "Westpac: Communications Error"
"status_834", "Westpac: HTTP error in response"
"status_835", "Westpac server returned an error"
"status_836", "Westpac server rejected the transaction"
"status_837", "Duplicate merchant reference sent to Westpac"
"status_838", "Unexpected response from Westpac"
"status_839", "Error encountered at Westpac - transaction has not been processed"
"status_840", "Transaction could not be cancelled at Westpac"
"status_920", "Wirecard: An unknown error occurred while processing the transaction"
"status_921", "Wirecard: Unable to establish connection"
"status_922", "Wirecard: Unable to establish connection"
"status_923", "Wirecard: Invalid response received from Wirecard"
"status_924", "Wirecard: HTTP error on response"
"status_925", "Wirecard: Encryption failure at Wirecard"
"status_926", "Wirecard: Card issuer temporarily not reachable"
"status_927", "Wirecard: Processing temporarily not available"
"status_928", "Wirecard: Wirecard reported timeout while processing transaction"
"status_929", "Wirecard: Terminal not available"
"status_930", "Wirecard: Terminal not ready"
"status_931", "Wirecard: Amount larger than allowed"
"status_932", "Wirecard: Amount smaller than minimum amount"
"status_933", "Wirecard: Transaction processing not possible on terminal"
"status_934", "Connection to Wirecard timed out. Transaction in unknown state"
"status_935", "Wirecard: Airlines record may only be submitted as part of a fulfill transaction"
"status_936", "Wirecard: Unexpected response received from Wirecard"
"status_937", "Wirecard: Fulfill failed"
"status_991", "Tokenization: Invalid Token"
"status_992", "Tokenization: Unknown Token"
"status_993", "Tokenization: Not configured for service"
"status_994", "Tokenization: Expired Token"
"status_995", "Tokenization: Token generation is already taking place for this PAN"
"status_996", "Tokenization: Invalid shared secret"
"status_997", "Tokenization: Token generation resulted in a collision"
"status_1001", "Unable to establish connection."
"status_1002", "The transaction was rejected by PayGate"
"status_1003", "An unknown error occurred while processing the transaction"
"status_1004", "Invalid response received from Paygate"
"status_1005", "Unable to establish connection"
"status_1006", "HTTP error on response"
"status_1007", "Partial fulfill not supported for PayGate"
"status_1031", "FDS:Unexpected response from FDS"
"status_1033", "FDS:Unable to establish connection"
"status_1034", "FDS:Unknown response received from FDS"
"status_1035", "FDS:Unknown Bank Failure"
"status_1036", "FDS:Merchant narrative is not support for FDS"
"status_1791", "PayPass: Not enabled for PayPass service"
"status_1792", "PayPass: Invalid PayPass method"
"status_1793", "PayPass: Missing mandatory element"
"status_1794", "PayPass: Invalid element"
"status_1795", "PayPass: Request to PayPass failed"
"status_1796", "PayPass: Invalid transaction reference"
"status_1797", "PayPass: Invalid resource URL specified"
"status_1801", "HPS PayPass: Card details collected, Awaiting authorisation"
"status_1802", "HPS PayPass: Transaction failed"
"status_12210", "PayPass"
"status_12211", "PayPass"
"status_1046", "End to End Encryption: Invalid key request method"
"status_1047", "End to End Encryption: Invalid key request version"
"status_1048", "End to End Encryption: Invalid CA ID"
"status_1049", "End to End Encryption: Invalid IV ID"
"status_1050", "End to End Encryption: Unsupported ENC ID"
"status_1051", "End to End Encryption: Invalid SESSIONKEY"
"status_1052", "End to End Encryption: Error decrypting track 2 data"
"status_1053", "End to End Encryption: Error decrypting PAN"
"status_1054", "End to End Encryption: Invalid card type for decryption"
"status_1055", "End to End Encryption: Missing transaction date and time"
